Date(UTC),UnixTimeStamp,Value
8/31/16,1472601600,2.99977E+19
9/1/16,1472688000,3.17437E+19
9/2/16,1472774400,4.52299E+19
9/3/16,1472860800,2.71807E+19
9/4/16,1472947200,4.93361E+19
9/5/16,1473033600,2.86289E+19
9/6/16,1473120000,3.33803E+19
9/7/16,1473206400,3.41994E+19
9/8/16,1473292800,4.12065E+19
9/9/16,1473379200,4.18969E+19
9/10/16,1473465600,2.74071E+19
9/11/16,1473552000,2.8548E+19
9/12/16,1473638400,3.503E+19
9/13/16,1473724800,3.03922E+19
9/14/16,1473811200,3.62994E+19
9/15/16,1473897600,3.6227E+19
9/16/16,1473984000,4.6932E+19
9/17/16,1474070400,3.52813E+19
9/18/16,1474156800,2.96453E+19
9/19/16,1474243200,2.76174E+19
9/20/16,1474329600,3.28256E+19
9/21/16,1474416000,3.01722E+19
9/22/16,1474502400,6.31461E+19
9/23/16,1474588800,4.90309E+19
9/24/16,1474675200,7.10295E+19
9/25/16,1474761600,6.71402E+19
9/26/16,1474848000,1.15639E+20
9/27/16,1474934400,9.85408E+19
9/29/16,1475107200,4.12793E+19
9/28/16,1475020800,6.81327E+19
9/30/16,1475193600,4.0259E+19
10/1/16,1475280000,9.13895E+19
10/2/16,1475366400,8.74752E+19
10/3/16,1475452800,6.59275E+19
10/4/16,1475539200,8.53678E+19
10/5/16,1475625600,6.41657E+19
10/6/16,1475712000,5.02581E+19
10/7/16,1475798400,5.35698E+19
10/8/16,1475884800,5.63806E+19
10/9/16,1475971200,6.00236E+19
10/10/16,1476057600,5.46367E+19
10/11/16,1476144000,3.91987E+19
10/12/16,1476230400,4.41865E+19
10/13/16,1476316800,1.12659E+20
10/14/16,1476403200,7.52466E+19
10/15/16,1476489600,6.90827E+19
10/16/16,1476576000,6.69971E+19
10/17/16,1476662400,7.15395E+19
10/18/16,1476748800,9.68633E+19
10/19/16,1476835200,9.27641E+19
10/20/16,1476921600,5.4945E+19
10/21/16,1477008000,4.19646E+19
10/22/16,1477094400,2.76597E+19
10/23/16,1477180800,2.6363E+19
10/24/16,1477267200,4.85906E+19
10/25/16,1477353600,4.31962E+19
10/26/16,1477440000,3.52892E+19
10/27/16,1477526400,3.33443E+19
10/28/16,1477612800,3.58921E+19
10/29/16,1477699200,3.11225E+19
10/30/16,1477785600,3.05915E+19
10/31/16,1477872000,3.34148E+19
11/1/16,1477958400,4.11927E+19
11/2/16,1478044800,2.91975E+19
11/3/16,1478131200,2.97031E+19
11/4/16,1478217600,2.17014E+19
11/5/16,1478304000,2.45981E+19
11/6/16,1478390400,2.32827E+19
11/7/16,1478476800,2.90298E+19
11/8/16,1478563200,3.14683E+19
11/9/16,1478649600,3.49854E+19
11/10/16,1478736000,3.53774E+19
11/11/16,1478822400,4.42358E+19
11/12/16,1478908800,3.07178E+19
11/13/16,1478995200,3.39265E+19
11/15/16,1479168000,3.70274E+19
11/14/16,1479081600,3.83146E+19
11/16/16,1479254400,3.49242E+19
11/17/16,1479340800,3.04288E+19
11/18/16,1479427200,3.47012E+19
11/19/16,1479513600,2.79002E+19
11/20/16,1479600000,3.25965E+19
11/21/16,1479686400,3.52515E+19
11/22/16,1479772800,3.80948E+19
11/23/16,1479859200,8.22291E+19
11/24/16,1479945600,5.88933E+19
11/25/16,1480032000,5.98097E+19
11/26/16,1480118400,7.25989E+19
11/27/16,1480204800,1.14916E+20
11/28/16,1480291200,1.22219E+20
11/29/16,1480377600,1.01589E+20
11/30/16,1480464000,3.53198E+19
12/1/16,1480550400,2.72231E+19
12/2/16,1480636800,2.80818E+19
12/3/16,1480723200,2.59101E+19
12/4/16,1480809600,2.62591E+19
12/5/16,1480896000,3.12602E+19
12/6/16,1480982400,3.47242E+19
12/7/16,1481068800,3.49868E+19
