,USDT_BTC,USDT_BTC,USDT_BTC,USDT_XRP,USDT_XRP,USDT_XRP,USDT_BCH,USDT_BCH,USDT_BCH,USDT_ETH,USDT_ETH,USDT_ETH,USDT_LTC,USDT_LTC,USDT_LTC,USDT_ETC,USDT_ETC,USDT_ETC,USDT_STR,USDT_STR,USDT_STR,USDT_XMR,USDT_XMR,USDT_XMR,USDT_ZEC,USDT_ZEC,USDT_ZEC,USDT_DASH,USDT_DASH,USDT_DASH,USDT_NXT,USDT_NXT,USDT_NXT,USDT_REP,USDT_REP,USDT_REP
,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price
2018-04-02 14:30:00,84.85230047,585224.19973594,6896.97505541,125549.11399154,60644.29815683,0.48303246,7.2287578,4764.42179609,659.0927415,63.57116567,24369.5551997,383.34290307,47.7184612,5598.28667167,117.31909476,845.58155068,11718.54865821,13.85856709,87655.52321609,18501.1774887,0.21106687000000002,219.18264238,38786.45510273,176.95951961,21.4163187,4072.4940886,190.15845559,2.27373695,682.12102064,299.99997169,35876.06202419,3955.86004157,0.11026461,16.38697516,412.12507836,25.14955166
2018-04-02 15:00:00,14.99557572,104016.32420952,6936.46753894,147683.69246376,71823.73029233,0.48633487000000003,3.63931571,2404.40193307,660.67418291,43.81512121,16908.15432353,385.89769596,42.03300607,4977.74786493,118.42474118,1593.04382212,22292.6818804,13.99376562,69287.77293185,14785.12253284,0.21338718,10.23517354,1811.23784563,176.96210411,4.5269652,858.99703972,189.75119131,11.49886642,3449.65992795,300.00000016,44302.93841019,4875.25101082,0.11004351,0.18736144,4.72781069,25.23363771
2018-04-02 15:30:00,56.25476617,395799.33920157,7035.83653704,166895.14610786,81962.01257601,0.49109883,40.32184246,26857.42755277,666.07639716,101.65018783,39545.88589562,389.03898497,178.97786009,21495.5443974,120.10169518,565.04918356,8005.20870897,14.16727772,67749.78740958,14562.30071913,0.21494238000000002,64.87603705,11598.01700026,178.77197078,33.54962256,6435.12973419,191.80930344,1.5430382,469.99136188,304.58828685,13176.80749937,1464.60005895,0.11114984,16.11815488,408.6775478,25.35510738
2018-04-02 16:00:00,66.58915127,467937.22239483,7027.2291127,15148.5774905,7409.43097534,0.48911727,11.25277828,7504.13435041,666.86947558,59.67742335,23220.18543061,389.09497305,28.88465861,3459.09446798,119.75542154,1058.8630757,14899.76379444,14.07147357,90990.00243545,19699.88621814,0.21650605,3.17271645,572.31311555,180.38583799,1.49380313,285.86958288,191.37031992,2.96147194,894.36526867,302.00025081,51403.93665905,5819.64872115,0.11321406,1.53007834,38.60696176,25.23201639
2018-04-02 16:30:00,63.78419333,446415.75319795,6998.84610734,74824.28776464,36625.29697422,0.48948407,0.7197376600000001,480.06152356,666.99514315,49.85335004,19300.99582037,387.15544301,117.45836868,14058.46650515,119.68893032,2919.26229299,40929.30653768,14.02042791,910414.23173824,199130.04159824,0.21872465,360.29528703,64493.58499412,179.00202227,19.60282925,3765.36579367,192.08277262,12.69021213,3839.11966188,302.5260431,153199.06541322,17316.30640441,0.11303141,124.3652583,3136.48993822,25.21998491
2018-04-02 17:00:00,22.10661007,154376.29455784,6983.26401329,70630.99448213,34397.67638989,0.4870054,22.00397766,14492.57038759,658.63411659,155.55414049,59750.23697814,384.11216049,126.88081856,15123.37936609,119.1935829,195.37271509,2723.29464478,13.93897117,1125857.6730554,251085.33413134,0.22301694,97.99403537,17471.79923581,178.29451731,8.35964468,1597.88797945,191.1430498,2.70049598,811.80609861,300.61370379,208288.7687995,22964.67707449,0.11025403,40.61307678,1008.9626887,24.84329601
2018-04-02 17:30:00,32.53646819,227523.6972665,6992.88244617,15534.35561058,7567.33274665,0.48713528,2.94898358,1949.08402371,660.93417302,143.30776796,55110.34854707,384.55939501,409.30268019,48751.78072262,119.10936107,467.55569115,6550.70794029,14.01054048,613854.63699365,134277.33015468,0.21874449999999998,97.33267339,17325.56949989,178.00363327,9.39562097,1824.48160148,194.18424895,1.02830718,310.05671226,301.52148919,7133.14722463,796.20823527,0.11162088,0.0,0.0,24.80473228
2018-04-02 18:00:00,15.13376572,105415.73508841,6965.59845307,36958.73434505,17893.20747094,0.48414015,30.87674041,20437.06237261,661.89183512,21.54332511,8266.83091502,383.73049994,43.27305034,5109.05044022,118.06541022,580.6533689,8078.51300643,13.91279796,863409.51246958,193147.84124622,0.22370362,91.06922764,16120.58045496,177.01457311,48.00622013,9452.12041226,196.89366058,14.15992295,4247.95590817,299.99851857,18936.83965774,2126.25428104,0.11228136,33.15546509,828.75926192,24.99615854
2018-04-02 18:30:00,27.74200697,193828.5398265,6986.82471084,61445.22940975,29909.44863933,0.486766,0.0,0.0,660.0,54.49419937,20919.56592644,383.88610472,31.75776769,3761.46353025,118.44231518,66.28954646,921.24648577,13.89731164,316457.67258203,70383.66826304,0.222411,1.63373721,290.05294369,177.53953446,7.47027211,1449.06529506,193.97757855,0.05013608,15.12053044,301.58980212,5163.69289192,580.81802641,0.11248113,0.09024935,2.23854275,24.80397647
2018-04-02 19:00:00,53.14671469,371031.49714709,6981.26872585,12910.92893839,6306.62728801,0.48847199999999996,14.11335939,9382.74709705,664.81316303,163.34864845,63049.03982436,385.97833788,17.32152104,2050.77836004,118.39481967,897.91782186,12537.03660025,13.96234298,327077.48575001,74768.06145678,0.22859433,7.38168314,1310.63591981,177.55244907,23.06507778,4530.48982173,196.42204829,1.55411263,469.5574349,302.13861327,1174731.7136883,134572.26586466,0.11455574,6.97731444,174.432861,25.0
2018-04-02 19:30:00,46.18307123,322602.57952695,6985.2993951,76535.94064626,37250.54638886,0.48670658,1.06668783,711.51574982,667.03278111,348.32158387,132938.91924887,381.65570382,61.9668786,7326.80315591,118.23740878,4142.80421652,57344.63028856,13.84198414,826918.48722073,193978.1365453,0.23457951,181.94825802,32202.70482535,176.98825575,8.46206451,1657.47543599,195.87128342,27.4995703,8408.96053796,305.78516123,81354.40509758,9447.99980247,0.11613384,79.11623668,2002.46565073,25.31042596
2018-04-02 20:00:00,92.74742095,642096.94404974,6923.07060911,49947.01952259,24151.06650158,0.48353368,40.05463024,26426.69808861,659.76637233,81.31213718,30842.05239819,379.3044122,311.63922266,36530.3765506,117.22008622,953.17965963,13159.44270912,13.80583668,364183.44353252,83821.91595006,0.23016399,622.6606975,110148.82130239,176.90023112,30.59020619,5937.28601121,194.09107523,18.98504558,5827.76656886,306.96616156,26536.32027242,3045.16961531,0.11475478,0.0,0.0,25.31466668
2018-04-02 20:30:00,40.0215986,276319.54538461,6904.26057555,110234.84418072,53140.50845101,0.48206634000000004,20.9347777,13765.29297327,657.53232112,76.23392842,28755.22075078,377.19715285,268.43399117,31346.8656846,116.77681186,440.76788044,6082.10110924,13.7988755,431332.60083443,97766.46278936,0.22666142,40.06251486,6955.3777016,173.61310756,3.51836112,676.89201948,192.38844348,1.04208886,313.60127869,300.9352568,47139.21677174,5356.5301372,0.11363214,0.0,0.0,25.31466668
2018-04-02 21:00:00,26.21232357,182959.05938793,6979.88710918,65665.25204973,31845.34478936,0.48496493,8.80036631,5873.36323383,667.39985893,163.56281918,62247.51488251,380.57252372,361.47815289,42359.03683775,117.18284078,193.82100175,2696.22975501,13.91092673,1429712.8429846,317816.10289911,0.22229366,101.2174717,17577.58910625,173.6616101,14.89996578,2859.56603294,191.91762418,15.77372165,4819.86170454,305.56274616,7698.20184023,872.24541434,0.11330508,6.0,148.56750984,24.76125164
